title,company,location,duration,stipend,hiring_since,oppor_posted,perks,skills,openings
Business Development (Sales),Reevoy,Gurgaon,3 Months," 10,000 /month",Hiring since June 2021,10 opportunities posted,"Certificate,Informal dress code,5 days a week,Free snacks & beverages","English Proficiency (Spoken),English Proficiency (Written),MS-Excel",2
Operations,Indus Action,Chandigarh,2 Months," 10,000-15,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,5 days a week","English Proficiency (Spoken),MS-Excel,MS-PowerPoint,MS-Word,Punjabi Proficiency (Spoken)",2
Graphic Design,Vitra.ai,Bangalore,3 Months," 5,000 /month",Hiring since September 2020,202 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week","Adobe After Effects,Adobe Creative Suite,Adobe Illustrator,Adobe Photoshop,Adobe Photoshop Lightroom CC,Adobe Premiere Pro,Video Editing",5
Business Development (Sales),Bizemag Media,Work From Home,6 Months," 3,000-5,000 /month",Hiring since August 2022,3 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,Social Media Marketing",2
Business Development (Sales),Shuruwaat.com,Mumbai,3 Months," 3,000 /month +  Incentives",Hiring since November 2022,2 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Digital Marketing,English Proficiency (Spoken),Sales,Sales and Marketing",2
Content Writing,Traveling Monkey,Work From Home,2 Months," 1,000 /month +  Incentives",Hiring since November 2022,1 opportunity posted,,"Blogging,Creative Writing,English Proficiency (Spoken),English Proficiency (Written)",2
Interior Design,Houseey Swap Tech Private Limited,Bangalore,2 Months," 5,000 /month +  Incentives",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Informal dress code,Job offer",CAD,5
Content Writing,Indo Euro Synchronization,Guntur,6 Months," 5,000 /month",Hiring since September 2021,7 opportunities posted,"Certificate,Letter of recommendation","HTML,PHP,WordPress",2
Photography,Evogue Media LLP,Thane,2 Months," 10,000-15,000 /month",Hiring since December 2018,199 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,Free snacks & beverages","Adobe Photoshop,Adobe Photoshop Lightroom CC,Photography,Video Editing,Video Making",1
Content Writing,Thee Packaging Company,Mumbai,3 Months," 7,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation","Blogging,Creative Writing,English Proficiency (Spoken),English Proficiency (Written)",2
UI/UX Design,Digi Carotene,Work From Home,6 Months," 4,000-7,000 /month",Hiring since November 2020,32 opportunities posted,"Certificate,Job offer","Adobe Illustrator,Adobe Photoshop,CorelDRAW,Figma,UI & UX Design,Wireframing",1
Video Making/Editing,First Fiddle Restaurants,Delhi,3 Months," 12,000-15,000 /month",Hiring since September 2021,23 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week,Free snacks & beverages",,2
Business Development (Sales),Marque Digital,Mumbai,3 Months," 5,000 /month",Hiring since August 2020,26 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,Free snacks & beverages","English Proficiency (Spoken),MS-Excel,Sales",1
IoT/Embedded System Design,iobot Technologies Private Limited,Pune,3 Months," 6,000 /month",Hiring since March 2018,52 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Job offer","Analog And Digital Circuits,Embedded Systems,Internet of Things (IoT)",2
Mobile App Development,Hemkund Petro Chem,Work From Home,1 Month," 2,500 lump sum",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation","Android,Java,REST API",1
Content Writing,First Fiddle Restaurants,Delhi,3 Months," 10,000 /month",Hiring since September 2021,23 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week,Free snacks & beverages,Job offer","Blogging,Creative Writing,Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Search Engine Optimization (SEO),Social Media Marketing",2
Social Media Marketing,Capsicum Mediaworks,Mumbai,6 Months," 5,000-10,000 /month",Hiring since August 2020,31 opportunities posted,"Certificate,Letter of recommendation","Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Facebook Marketing,Instagram Marketing,Social Media Marketing",1
Social Media Marketing,Rucha Mistry,Pune,4 Months," 5,000-7,000 /month",Hiring since November 2022,1 opportunity posted,"Letter of recommendation,Flexible work hours,Informal dress code","Creative Writing,Digital Marketing,Instagram Marketing,Search Engine Optimization (SEO),Social Media Marketing",1
Google Ads,ROI Boosters,Delhi,6 Months," 10,000 /month",Hiring since June 2022,6 opportunities posted,"Certificate,5 days a week","Google AdWords,Google Analytics",2
Business Development (Sales),Plethora IT & HR Solutions,Ahmedabad,1 Month," 15,000 /month",Hiring since November 2022,1 opportunity posted,Flexible work hours,Email Marketing,1
Cinematic Videography,Porur GK Studio,Chennai,1 Month," 10,000 /month +  Incentives",Hiring since November 2022,2 opportunities posted,"Certificate,Informal dress code,Free snacks & beverages",Video Making,5
Digital Marketing,Air Homestays,Work From Home,2 Months," 1,000 /month +  Incentives",Hiring since November 2022,2 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Digital Marketing,Instagram Marketing,Social Media Marketing",4
Telecalling,DB Productions,Work From Home,2 Months," 10,000 /month",Hiring since July 2022,14 opportunities posted,"Certificate,Flexible work hours","English Proficiency (Spoken),English Proficiency (Written),Hindi Proficiency (Spoken),MS-Excel,MS-Word",2
Web Development,GROW IT HUB,Mumbai,2 Months," 2,000 /month",Hiring since November 2022,2 opportunities posted,"Letter of recommendation,Flexible work hours","AJAX,Bootstrap,CSS,HTML,JavaScript,Node.js,PHP",1
Video Editing & Content Creation,Heaven Capital,Work From Home,4 Months," 1,000 /month +  Incentives",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Canva,English Proficiency (Spoken),English Proficiency (Written),Google AdWords,Video Editing",2
Content Writing,Simit Bhagat Studios,Work From Home,3 Months," 5,000 /month",Hiring since January 2019,80 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,Job offer","Blogging,Creative Writing,Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Social Media Marketing",2
Business Development (Sales),Satianu Fragrances And Essential Oils LLP,Mumbai,2 Months," 5,000 /month",Hiring since November 2022,3 opportunities posted,"Certificate,Letter of recommendation,5 days a week","Email Marketing,English Proficiency (Spoken),English Proficiency (Written)",1
Customer Care,Silveor Optimist,Pune,3 Months," 13,000-20,000 /month",Hiring since November 2022,2 opportunities posted,"Flexible work hours,Informal dress code,5 days a week",,20
Graphic Design,AppyHigh Technology,Work From Home,4 Months," 15,000-20,000 /month",Hiring since January 2019,90 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,Job offer","Adobe After Effects,Adobe Illustrator,Adobe Indesign,Adobe Photoshop,Adobe Premiere Pro,Video Editing",2
Cyber Security,The Consent Bank,Delhi,2 Months," 2,000 /month",Hiring since December 2020,44 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week",,20
Ethical Hacking,The Consent Bank,Work From Home,2 Months," 1,000 /month",Hiring since December 2020,44 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week",Ethical Hacking,20
Business Development (Sales),Carenami,Work From Home,3 Months," 7,500 /month",Hiring since September 2022,2 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Email Marketing,English Proficiency (Spoken),English Proficiency (Written),Sales,Sales and Marketing",1
Hotel Management,Osho Himalayas,Jia,3 Months," 4,500 /month",Hiring since November 2022,2 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,Free snacks & beverages",,1
Business Development (Sales),Xoheb Khan Production,Delhi,3 Months," 5,000 /month",Hiring since November 2022,2 opportunities posted,"Certificate,Letter of recommendation,5 days a week","Business Analysis,Business Research,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,Sales and Marketing",1
Graphic Design,Osho Himalayas,Jia,3 Months," 4,500 /month",Hiring since November 2022,2 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,Free snacks & beverages","Adobe After Effects,Adobe Creative Suite,Adobe Illustrator,Adobe Indesign,Adobe Photoshop,Adobe Photoshop Lightroom CC,Adobe Premiere Pro,CorelDRAW,UI & UX Design,Video Editing",1
Human Resources (HR),Biocon Biologics,Bangalore,6 Months," 10,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,5 days a week,Free snacks & beverages","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Word",8
Video Editing,Jalan Distributors & Company,Work From Home,2 Months," 8,000 /month",Hiring since May 2021,67 opportunities posted,"Certificate,Letter of recommendation",Adobe Premiere Pro,2
Human Resources (HR),InSync Analytics (India) Private Limited,Mumbai,4 Months," 5,000-10,000 /month",Hiring since November 2022,2 opportunities posted,"Certificate,Flexible work hours,5 days a week,Free snacks & beverages","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Word",1
Web Development,Satianu Fragrances And Essential Oils LLP,Mumbai,2 Months," 5,000 /month",Hiring since November 2022,3 opportunities posted,"Certificate,Letter of recommendation,5 days a week","CSS,HTML,WordPress",1
Telecalling,FALCONSKART OPC PRIVATE LIMITED,Work From Home,1 Month," 2,500 /month +  Incentives",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Flexible work hours",,1
Human Resources (HR),Rebel Foods,Mumbai,3 Months," 5,000 /month",Hiring since April 2022,3 opportunities posted,Certificate,,1
Facebook Advertising,ROI Boosters,Delhi,6 Months," 10,000 /month",Hiring since March 2022,15 opportunities posted,"Certificate,5 days a week","Data Analytics,Facebook Marketing",2
Company Secretary (CS),Vivek Tiwari & Company,Delhi,12 Months," 6,000 /month",Hiring since March 2018,153 opportunities posted,Certificate,MS-Excel,5
Human Resources (HR),Burgundy Hospitality Private Limited (Burgundy Brand Collective),Mumbai,1 Month," 15,000 /month",Hiring since November 2022,1 opportunity posted,,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office",5
Search Engine Optimization (SEO),WhyDonate,Work From Home,6 Months," 7,000 /month",Hiring since November 2022,2 opportunities posted,,,2
Business Development (Sales),ArabEasy,Gurgaon,3 Months," 12,000-18,000 /month",Hiring since November 2018,88 opportunities posted,"Certificate,Letter of recommendation,5 days a week,Free snacks & beverages,Job offer","English Proficiency (Spoken),English Proficiency (Written),Sales,Sales and Marketing",2
Graphic Design,Iron Asylum,Bangalore,6 Months," 8,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Informal dress code","Adobe After Effects,Adobe Creative Suite,Adobe Illustrator,Adobe Photoshop,Video Editing",2
Business Development (Sales),Kapstag Workforce Solutions Private Limited,Work From Home,3 Months," 3,000 /month",Hiring since November 2018,3 opportunities posted,"Certificate,Letter of recommendation","Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,Social Media Marketing",2
Law/Legal,Habitat For Humanity Trust,Thane,1 Week,Unpaid,Hiring since October 2020,251 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,Job offer","English Proficiency (Spoken),English Proficiency (Written),Marathi Proficiency(Written)",5
Business Development (Sales),Expertrons,Mumbai,3 Months," 20,000-25,000 /month",Hiring since March 2019,2203 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,Free snacks & beverages","Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,Social Media Marketing",1
Law/Legal,Habitat For Humanity Trust,Delhi,1 Month,Unpaid,Hiring since October 2020,251 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,Job offer","English Proficiency (Spoken),English Proficiency (Written),Marathi Proficiency(Written)",5
Business Development (Sales),Sheth Info,Ahmedabad,1 Month," 15,000-25,000 /month",Hiring since August 2019,17 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,Job offer",,1
Photoshop & Graphic Designing,Mad About Wellness,Noida,2 Months," 10,000 /month",Hiring since March 2017,9 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,Job offer","Adobe Illustrator,Adobe Photoshop,Adobe Photoshop Lightroom CC",2
Content Writing,Trace Presence,Work From Home,4 Months," 6,000 /month",Hiring since January 2021,19 opportunities posted,,"Email Marketing,English Proficiency (Written)",10
Video Solutions (Pentab Based),Rancike Learning,Work From Home,2 Months," 12,000-15,000 /month",Hiring since November 2020,188 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Biology,Chemistry,Mathematics,Physics",20
Mobile App Development,OffsetFarm (SD Ventures),Work From Home,6 Months," 10,000-12,000 /month",Hiring since September 2021,2 opportunities posted,"Certificate,Letter of recommendation","Android,Dart,Firebase,Flutter,REST API",1
Media Strategy & Public Relations (PR),Studio Talk (Division Of Pinstripe Zebras),Work From Home,4 Months," 8,000 /month",Hiring since March 2019,23 opportunities posted,Certificate,"English Proficiency (Spoken),English Proficiency (Written),Hindi Proficiency (Spoken)",6
Business Development,MBAtrek Private Limited,Work From Home,1 Month," 3,000 /month +  Incentives",Hiring since January 2019,70 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","MS-Excel,Social Media Marketing",20
Graphic Design,Well Link,Ahmedabad,3 Months," 5,000-10,000 /month",Hiring since October 2021,2 opportunities posted,Certificate,"Adobe After Effects,Adobe Illustrator,Adobe Photoshop,CorelDRAW,Video Editing",1
Social Media Marketing,Spice Herbals & Amenities Private Limited,Delhi,6 Months," 5,000 /month",Hiring since September 2021,2 opportunities posted,Certificate,,2
Marketing,Active Publicity & Print Private Limited,Kolkata,6 Months," 6,000 /month +  Incentives",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Informal dress code","Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,Social Media Marketing",1
Business Development (Sales),Max Vision Solutions,Delhi,6 Months," 10,000-20,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation","English Proficiency (Spoken),English Proficiency (Written),MS-Excel",2
Graphic Design,Stratton Communications,Mumbai,3 Months," 5,000 /month",Hiring since February 2022,11 opportunities posted,"Certificate,Letter of recommendation","Adobe After Effects,Adobe Illustrator,Adobe Photoshop,Adobe Premiere Pro",5
Business Development (Sales),Kanhiya Advertisers,Bathinda,4 Months," 5,000-12,000 /month",Hiring since January 2021,6 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Job offer",,3
Social Media Management,Beyondoo Games,Work From Home,3 Months," 1,500 /month",Hiring since September 2021,9 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Canva,English Proficiency (Written)",2
Digital Marketing,Looxdo LLC,Work From Home,3 Months," 4,000-7,000 /month",Hiring since March 2018,113 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Blogging,Facebook Marketing,Google Analytics,Search Engine Marketing (SEM),Search Engine Optimization (SEO)",3
Social Media Marketing,Floodlightz Media Solution,Delhi,3 Months," 7,000 /month",Hiring since November 2022,1 opportunity posted,,"Digital Marketing,Search Engine Marketing (SEM),Search Engine Optimization (SEO),Social Media Marketing",1
Marketing,O2Saver Healthcare Private Limited,Chennai,3 Months," 5,000 /month +  Incentives",Hiring since April 2021,2 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours",,3
Operations,TalentExcel,Work From Home,6 Months," 5,000 /month",Hiring since July 2016,34 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week",English Proficiency (Written),3
Business Development (Sales),Cloud HR Service,Pune,2 Months," 2,000 /month +  Incentives",Hiring since August 2021,5 opportunities posted,Flexible work hours,"Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,Social Media Marketing",1
Subject Matter Expert (SME),Wordink Contents Private Limited,Work From Home,6 Months," 5,000 /month +  Incentives",Hiring since June 2022,11 opportunities posted,Flexible work hours,"Accounting,Economics,English Proficiency (Spoken),English Proficiency (Written),Mathematics,MS-Word,Subject Matter Expert (SME),Video Making",20
Social Media Marketing,JOSHUA KWICKWASH (OPC) PRIVATE LIMITED,Delhi,3 Months," 5,000-10,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Creative Writing,Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),Facebook Marketing,Google AdWords,Instagram Marketing,Search Engine Marketing (SEM),Search Engine Optimization (SEO),Social Media Marketing",5
Marketing,NEHA AUTOMOBILES,Delhi,2 Months," 2,000 /month +  Incentives",Hiring since November 2022,1 opportunity posted,,"Digital Marketing,MS-Office,Social Media Marketing",4
Digital Marketing,Chanak Analytics,Work From Home,3 Months," 2,000-10,000 /month",Hiring since November 2022,2 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Job offer","Digital Marketing,Email Marketing,English Proficiency (Written),Search Engine Optimization (SEO),Social Media Marketing",2
Accounts And Audit,Purushottam Chitre,Thane,6 Months," 5,000-8,000 /month",Hiring since October 2019,20 opportunities posted,Informal dress code,Accounting,4
Digital Marketing,Avis Vascular Centre,Hyderabad,3 Months," 8,000 /month",Hiring since August 2022,3 opportunities posted,Certificate,"Digital Marketing,Facebook Marketing,Instagram Marketing,Search Engine Marketing (SEM),Search Engine Optimization (SEO),Social Media Marketing",4
Wedding Planning,Ramp Asia,Delhi,3 Months," 5,000 /month",Hiring since December 2016,117 opportunities posted,"Certificate,Letter of recommendation","MS-Excel,MS-PowerPoint,MS-Word",2
Graphic Design,SARZE Publications,Work From Home,3 Months," 6,000-8,000 /month",Hiring since May 2021,8 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Adobe Illustrator,Adobe Indesign,Adobe Photoshop,CorelDRAW",4
Content Writing,Consultmate,Work From Home,3 Months," 5,000 /month",Hiring since October 2016,46 opportunities posted,"Certificate,Letter of recommendation",,1
Business Development (Sales),The Velvet Space,Bangalore,2 Months," 10,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Informal dress code","Digital Marketing,English Proficiency (Spoken),MS-Excel",3
Microsoft Powerpoint Project Making,Aqua Purifiers,Work From Home,2 Months," 2,000-3,000 /month",Hiring since July 2022,10 opportunities posted,Flexible work hours,,1
Motion Graphics,Vivify Solutions Private Limited,Mumbai,1 Month," 10,000 /month",Hiring since November 2022,3 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week","Adobe After Effects,Adobe Illustrator,Adobe Photoshop,Adobe Premiere Pro,Animation",3
Graphic Design,The Ayurveda Company,Gurgaon,3 Months," 15,000 /month",Hiring since December 2021,25 opportunities posted,"Certificate,Informal dress code","Adobe Illustrator,Adobe Photoshop,CorelDRAW",1
Customer Support,Guruji Astro,Jaipur,3 Months," 8,000 /month",Hiring since April 2019,390 opportunities posted,"Certificate,Letter of recommendation",,5
Content Writing,Tradehook Fashion,Work From Home,2 Months," 2,000-5,000 /month",Hiring since October 2022,5 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Content Writing,Creative Writing,English Proficiency (Written),Search Engine Optimization (SEO)",5
Marketing,Openspace Advertising & Marketing Consultancy,Mumbai,3 Months," 10,000 /month",Hiring since January 2019,59 opportunities posted,,"English Proficiency (Spoken),English Proficiency (Written)",2
Management,PARIKSIT INCORPORATIONS,Rourkela,6 Months," 30,000 /month",Hiring since November 2022,1 opportunity posted,Certificate,Event Management,2
Law/Legal,Lexpeeps.in,Work From Home,1 Month,Unpaid,Hiring since November 2020,12 opportunities posted,"Certificate,Flexible work hours",,12
Human Resources (HR),Genie Exports Private Limited,Hyderabad,3 Months," 5,000 /month",Hiring since November 2022,2 opportunities posted,"Certificate,Informal dress code","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-Word",1
Business Development (Sales),Messold Technologies,Work From Home,6 Months," 8,000-15,000 /month",Hiring since July 2018,172 opportunities posted,"Certificate,Letter of recommendation,5 days a week,Job offer",English Proficiency (Spoken),5
Cyber Security (Incident Response & SOC),Anzen Technologies Private Limited,Thane,6 Months," 15,000 /month",Hiring since August 2021,10 opportunities posted,Certificate,"Computer Networking,Linux,SOC",4
Creative,SVF Entertainment Private Limited,Kolkata,3 Months," 8,000-10,000 /month",Hiring since December 2021,32 opportunities posted,Letter of recommendation,,5
Business Development (Sales),EcoCushion Paper,Navi Mumbai,3 Months," 5,000-7,500 /month",Hiring since October 2022,2 opportunities posted,"Letter of recommendation,Informal dress code,5 days a week",,1
Data Entry,Exaltare Technologies Private Limited,Pune,6 Months," 12,000 /month",Hiring since February 2018,24 opportunities posted,"Certificate,Flexible work hours","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office",2
Fashion Photography And Videography,Anyaani By Anita Mall,Kolkata,3 Months," 4,000-15,000 /month",Hiring since September 2022,5 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,Free snacks & beverages,Job offer","Adobe Photoshop Lightroom CC,Canva",5
Graphic Design,Madonna's Home Decor,Work From Home,2 Months," 1,500 /month",Hiring since November 2022,3 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Adobe After Effects,Adobe Creative Suite,Adobe Illustrator,Adobe Indesign,Adobe Photoshop,Canva,Photography,UI & UX Design,Video Editing,Video Making",1
Human Resources (HR),Integrate 360,Mumbai,3 Months," 10,000 /month",Hiring since January 2021,43 opportunities posted,Letter of recommendation,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-Word",1
Videography & Post Production (Instagram Reels - Motivation/Self Development Category),Aman Jain,Chennai,1 Month," 3,000 /month +  Incentives",Hiring since September 2020,120 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Adobe Premiere Pro,Animation,Audio Editing,English Proficiency (Written),Video Editing,Video Making",2
Social Media Marketing,Letsryl,Work From Home,2 Months," 1,000-1,500 /month",Hiring since July 2021,37 opportunities posted,"Certificate,Flexible work hours","Digital Marketing,Facebook Marketing,Social Media Marketing",1
3D Printing Operations Engineering,Voxelwerks 3D Solutions Private Limited,Noida,6 Months," 8,000-10,000 /month",Hiring since December 2021,21 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,Job offer","3ds Max,Autodesk Fusion 360,Blender 3D,Google SketchUp,Rapid Prototyping,SolidWorks",2
Client Servicing,Skrolled,Work From Home,3 Months," 5,000 /month +  Incentives",Hiring since October 2021,7 opportunities posted,"Certificate,Letter of recommendation","Client Relationship,English Proficiency (Spoken),English Proficiency (Written),MS-PowerPoint",2
Human Resources (HR),Bultaminds Venture Private Limited,Work From Home,3 Months," 9,000 lump sum",Hiring since December 2021,3 opportunities posted,Certificate,"English Proficiency (Spoken),English Proficiency (Written)",10
Operations,TravClan,Delhi,2 Months," 15,000 /month",Hiring since September 2021,16 opportunities posted,Certificate,,5
Interior Design,Staging Spaces Design,Mumbai,6 Months," 10,000 /month",Hiring since November 2022,2 opportunities posted,"Certificate,Letter of recommendation",AutoCAD,1
Operations,Integrated Risk Insurance Brokers Limited,Mumbai,6 Months," 10,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,5 days a week","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-PowerPoint,MS-Word",3
Content Writing,Rankingeek Marketing Agency,Delhi,3 Months," 4,000 /month +  Incentives",Hiring since August 2022,11 opportunities posted,"Certificate,Informal dress code,Free snacks & beverages,Job offer","Blogging,Creative Writing,Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Search Engine Optimization (SEO),Social Media Marketing",2
Lead Generation,Rankingeek Marketing Agency,Delhi,2 Months," 2,000 /month +  Incentives",Hiring since August 2022,11 opportunities posted,"Certificate,Informal dress code,Free snacks & beverages,Job offer","Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,Social Media Marketing",2
Content Writing,Finetic Digital Interactive,Work From Home,3 Months," 10,000-30,000 /month",Hiring since November 2021,11 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Blogging,Creative Writing,English Proficiency (Spoken),English Proficiency (Written)",2
Market Research Analysis,Tap4Food,Hyderabad,3 Months," 15,000 /month",Hiring since November 2022,2 opportunities posted,"Certificate,Job offer",,1
Graphic Design,Finetic Digital Interactive,Work From Home,3 Months," 10,000-30,000 /month",Hiring since November 2021,11 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Adobe Creative Suite,English Proficiency (Written)",2
UX/UI Design,Finetic Digital Interactive,Work From Home,3 Months," 10,000-30,000 /month",Hiring since November 2021,11 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Job offer","Adobe XD,English Proficiency (Written)",1
Search Engine Optimization (SEO),Rankingeek Marketing Agency,Delhi,2 Months," 3,000 /month +  Incentives",Hiring since August 2022,11 opportunities posted,"Certificate,Informal dress code,Free snacks & beverages,Job offer","Digital Marketing,English Proficiency (Written),Google AdWords,Google Analytics,Search Engine Marketing (SEM),Search Engine Optimization (SEO),Social Media Marketing",4
Adobe Illustrator Application,CloudBird Digital Private Limited,Faridabad,1 Month," 6,000-7,000 /month",Hiring since April 2019,281 opportunities posted,"Certificate,Letter of recommendation","Adobe After Effects,Adobe Illustrator,Adobe Indesign,Adobe Photoshop,Adobe Photoshop Lightroom CC,Clip Studio Paint,English Proficiency (Spoken),GIMP",5
Digital Marketing,Bizknowmics,Work From Home,5 Months," 5,000-7,000 /month",Hiring since November 2017,70 opportunities posted,"Certificate,Letter of recommendation",,5
Digital Marketing,Five Design India,Delhi,2 Months," 6,000-10,000 /month",Hiring since November 2022,2 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,Free snacks & beverages","Digital Marketing,Facebook Marketing,Instagram Marketing,Search Engine Marketing (SEM),Search Engine Optimization (SEO),Social Media Marketing",4
Human Resources (HR),InfoGrowth Private Limited,Hyderabad,3 Months," 2,000 /month +  Incentives",Hiring since December 2020,6 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week","English Proficiency (Spoken),English Proficiency (Written),MS-Excel",15
Human Resources (HR),Indifi Technologies Private Limited,Delhi,3 Months," 10,000 /month",Hiring since April 2022,2 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week,Free snacks & beverages","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-Word",2
New Business Development,id8 Media Solutions Private Limited,Mumbai,3 Months," 7,000 /month",Hiring since November 2022,8 opportunities posted,"Certificate,5 days a week,Job offer",,10
Operations,Metis Learning Solutions,Delhi,2 Months," 20,000 /month",Hiring since May 2019,23 opportunities posted,"Free snacks & beverages,Job offer","MS-Excel,MS-Word",2
Fundraising,Hopeberry,Work From Home,1 Month," 1,000 /month +  Incentives",Hiring since August 2022,4 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","English Proficiency (Spoken),Sales and Marketing",10
Digital Marketing,SVIP CAPITAL,Pune,6 Months," 8,000 /month",Hiring since December 2019,16 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,Job offer","Creative Writing,Digital Marketing,English Proficiency (Spoken),Facebook Marketing,Instagram Marketing,Social Media Marketing",1
Script Writing,Brevity Incorporated,Work From Home,5 Months," 8,000-12,000 /month",Hiring since March 2017,106 opportunities posted,"Certificate,Letter of recommendation","Creative Writing,English Proficiency (Written)",2
Copywriting,Litifer,Work From Home,3 Months," 8,000-10,000 /month",Hiring since August 2016,158 opportunities posted,"Certificate,Letter of recommendation,Job offer","Copywriting,Creative Writing,Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Search Engine Optimization (SEO),Social Media Marketing",3
Operations Management,Avfive,Noida,3 Months," 15,000 /month",Hiring since October 2022,14 opportunities posted,Job offer,"English Proficiency (Spoken),English Proficiency (Written)",1
